name,date,r,g,b,uri
Shorts,2022-10-06 16:45:59,159,193,224,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/310551161_196835546096826_8106549005136549186_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=YfwvxdEcJ8EAX8Ir9KA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0MzE4Mjg2MTA3Nzc2MzExOQ%3D%3D.2-ccb7-5&oh=00_AT8rFM7OGHlvdwmfX6ieoYH95IHb6dRu6PeXHZzc65aTyA&oe=6354A6F2&_nc_sid=30a2ef
Jeans,2022-10-01 15:19:06,32,85,143,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/309438133_119042664278865_3992740000471929947_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=tXDtqSWUr3gAX9kSz8y&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkzOTUxNTI1MTI4NDY3MDk1OA%3D%3D.2-ccb7-5&oh=00_AT8CShX5k1lsusnYc5iErwKc1CfOz2fGpMQNhJ-t2_uMkg&oe=63543189&_nc_sid=30a2ef
Jeans,2022-09-24 09:02:34,6,22,51,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/308553889_1088756545368769_6713996869199880334_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=nCR19WqF6WsAX96QPxe&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkzNDI1MjMwNjMyMTU0MTc0MQ%3D%3D.2-ccb7-5&oh=00_AT-OkjX6ACizXbdt7a6z5lUJPb-vQTLBBkDzBWNjb1DTQg&oe=6354DA6F&_nc_sid=30a2ef
Pants,2022-09-03 10:03:24,22,72,197,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/305182435_444670264359458_3037366054122717323_n.webp?se=7&stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=jEfei2S52x0AX-bbPOj&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkxOTA2MjYyODY5ODQzNTg3MA%3D%3D.2-ccb7-5&oh=00_AT_417DJ6_5PCwHHVKljYycJ23nUKWzlYSws5FcrLAJtSQ&oe=63548612&_nc_sid=8fd12b
Pants,2022-08-13 14:49:17,6,5,6,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/299206355_480024433954714_8134478833222422631_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=XO6KfZ0eCL4AX-26_mq&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkwMzk4NjIzMTE1NjM3MDg1OQ%3D%3D.2-ccb7-5&oh=00_AT_ZmgozOHk06KgBrSwSrThCW-HmdiR9LLhGHu-pA1gSyg&oe=63552170&_nc_sid=30a2ef
Shorts,2021-01-11 17:54:09,253,174,13,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/137311578_250582089783056_7280904608028721698_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=AcnVvx5igvEAX_YznX3&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjQ4NDQzNDEzNDcyMzUxMTM2Mw%3D%3D.2-ccb7-5&oh=00_AT8p5uwPcSXQOroM6GG9YsusoDBiGxzssSutHEimByhltA&oe=63557FEC&_nc_sid=30a2ef
Pants,2022-09-13 01:40:06,7,4,28,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/306716063_189550600122504_1144127073300512854_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=NnGuVc1LWsUAX_rYPIK&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkyNjA1NzA3NDExNTk2NjUyOQ%3D%3D.2-ccb7-5&oh=00_AT_V98WSFDSVablFF-3XgH-KIkz1gNfS_wXquHMeqT9ANQ&oe=63559722&_nc_sid=30a2ef
Pants,2022-08-28 22:43:13,147,98,93,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/301529060_1025946301437818_5832291968950555643_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=uzWtQJfb6ekAX-Zu9wk&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkxNTA5NjQwMDEyMDEyMTI5OA%3D%3D.2-ccb7-5&oh=00_AT-mZhQ8EiYyzP_Fm7r9TZVpuBy2lOHVMfA_iKuO34OJHA&oe=6353CB09&_nc_sid=8fd12b
Dress,2022-08-28 22:43:13,56,54,45,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/301529060_1025946301437818_5832291968950555643_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=uzWtQJfb6ekAX-Zu9wk&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkxNTA5NjQwMDEyMDEyMTI5OA%3D%3D.2-ccb7-5&oh=00_AT-mZhQ8EiYyzP_Fm7r9TZVpuBy2lOHVMfA_iKuO34OJHA&oe=6353CB09&_nc_sid=8fd12b
Pants,2022-09-29 20:33:19,25,24,25,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/309488884_823593658767073_6691806604773687703_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=0ifeEYdKlc4AX8HUMHy&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjkzODIyMzg0MzUzMDY4NTE0NA%3D%3D.2-ccb7-5&oh=00_AT9gaEJ5Y9VmL6Z_qAG9lBaaw3GfdOBCax9BxxwNiYroCQ&oe=63551BA6&_nc_sid=8fd12b
